id_diagnostico,tipo_paciente,dictamen,resultado_pcr,estatus_caso
73,AMBULATORIO,NO APLICA,SIN SEROTIPO AISLADO,PROBABLE
74,AMBULATORIO,NO APLICA,SIN SEROTIPO AISLADO,CONFIRMADO
75,AMBULATORIO,NO APLICA,SIN SEROTIPO AISLADO,DESCARTADO
76,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV1,PROBABLE
77,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV1,CONFIRMADO
78,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV1,DESCARTADO
79,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV2,PROBABLE
80,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV2,CONFIRMADO
81,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV2,DESCARTADO
82,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV3,PROBABLE
83,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV3,CONFIRMADO
84,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV3,DESCARTADO
85,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV4,PROBABLE
86,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV4,CONFIRMADO
87,HOSPITALIZADO,CONFIRMADO A DENGUE,DENV4,DESCARTADO
88,HOSPITALIZADO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,PROBABLE
89,HOSPITALIZADO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,CONFIRMADO
90,HOSPITALIZADO,CONFIRMADO A DENGUE,SIN SEROTIPO AISLADO,DESCARTADO
91,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV1,PROBABLE
92,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV1,CONFIRMADO
93,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV1,DESCARTADO
94,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV2,PROBABLE
95,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV2,CONFIRMADO
96,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV2,DESCARTADO
97,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV3,PROBABLE
98,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV3,CONFIRMADO
99,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV3,DESCARTADO
100,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV4,PROBABLE
101,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV4,CONFIRMADO
102,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,DENV4,DESCARTADO
103,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,SIN SEROTIPO AISLADO,PROBABLE
104,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,SIN SEROTIPO AISLADO,CONFIRMADO
105,HOSPITALIZADO,CONFIRMADO A CHIKUNGUNYA,SIN SEROTIPO AISLADO,DESCARTADO
106,HOSPITALIZADO,NEGATIVO,DENV1,PROBABLE
107,HOSPITALIZADO,NEGATIVO,DENV1,CONFIRMADO
108,HOSPITALIZADO,NEGATIVO,DENV1,DESCARTADO
109,HOSPITALIZADO,NEGATIVO,DENV2,PROBABLE
110,HOSPITALIZADO,NEGATIVO,DENV2,CONFIRMADO
111,HOSPITALIZADO,NEGATIVO,DENV2,DESCARTADO
112,HOSPITALIZADO,NEGATIVO,DENV3,PROBABLE
113,HOSPITALIZADO,NEGATIVO,DENV3,CONFIRMADO
114,HOSPITALIZADO,NEGATIVO,DENV3,DESCARTADO
115,HOSPITALIZADO,NEGATIVO,DENV4,PROBABLE
116,HOSPITALIZADO,NEGATIVO,DENV4,CONFIRMADO
117,HOSPITALIZADO,NEGATIVO,DENV4,DESCARTADO
118,HOSPITALIZADO,NEGATIVO,SIN SEROTIPO AISLADO,PROBABLE
119,HOSPITALIZADO,NEGATIVO,SIN SEROTIPO AISLADO,CONFIRMADO
120,HOSPITALIZADO,NEGATIVO,SIN SEROTIPO AISLADO,DESCARTADO
121,HOSPITALIZADO,EN ESTUDIO,DENV1,PROBABLE
122,HOSPITALIZADO,EN ESTUDIO,DENV1,CONFIRMADO
123,HOSPITALIZADO,EN ESTUDIO,DENV1,DESCARTADO
124,HOSPITALIZADO,EN ESTUDIO,DENV2,PROBABLE
125,HOSPITALIZADO,EN ESTUDIO,DENV2,CONFIRMADO
126,HOSPITALIZADO,EN ESTUDIO,DENV2,DESCARTADO
127,HOSPITALIZADO,EN ESTUDIO,DENV3,PROBABLE
128,HOSPITALIZADO,EN ESTUDIO,DENV3,CONFIRMADO
129,HOSPITALIZADO,EN ESTUDIO,DENV3,DESCARTADO
130,HOSPITALIZADO,EN ESTUDIO,DENV4,PROBABLE
131,HOSPITALIZADO,EN ESTUDIO,DENV4,CONFIRMADO
132,HOSPITALIZADO,EN ESTUDIO,DENV4,DESCARTADO
133,HOSPITALIZADO,EN ESTUDIO,SIN SEROTIPO AISLADO,PROBABLE
134,HOSPITALIZADO,EN ESTUDIO,SIN SEROTIPO AISLADO,CONFIRMADO
135,HOSPITALIZADO,EN ESTUDIO,SIN SEROTIPO AISLADO,DESCARTADO
136,HOSPITALIZADO,NO APLICA,DENV1,PROBABLE
137,HOSPITALIZADO,NO APLICA,DENV1,CONFIRMADO
138,HOSPITALIZADO,NO APLICA,DENV1,DESCARTADO
139,HOSPITALIZADO,NO APLICA,DENV2,PROBABLE
140,HOSPITALIZADO,NO APLICA,DENV2,CONFIRMADO
141,HOSPITALIZADO,NO APLICA,DENV2,DESCARTADO
142,HOSPITALIZADO,NO APLICA,DENV3,PROBABLE
143,HOSPITALIZADO,NO APLICA,DENV3,CONFIRMADO
144,HOSPITALIZADO,NO APLICA,DENV3,DESCARTADO
145,HOSPITALIZADO,NO APLICA,DENV4,PROBABLE
146,HOSPITALIZADO,NO APLICA,DENV4,CONFIRMADO
147,HOSPITALIZADO,NO APLICA,DENV4,DESCARTADO
148,HOSPITALIZADO,NO APLICA,SIN SEROTIPO AISLADO,PROBABLE
149,HOSPITALIZADO,NO APLICA,SIN SEROTIPO AISLADO,CONFIRMADO
150,HOSPITALIZADO,NO APLICA,SIN SEROTIPO AISLADO,DESCARTADO
